Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-7002,2000,7.067068906926214,2.7695689002874704,1.0106499823166741
1468,-6224,2000,9.552019029500375,3.23736187157819,0.23801968559697226
1465,-3890,2000,26.803652611657242,3.2031635783302868,2.3163508047385344
1464,-3112,2000,40.221713640907694,3.3944879667485544,0.6318909263974937
1467,-5446,2000,11.634165750494983,3.100049276102576,3.6449917502859033
1466,-4668,2000,17.943514865844985,3.469635074316154,0.04879350163260726
1461,-778,2000,128.6820037165991,4.97190812186575,0.1366731440459224
1460,-10,2000,151.95412181460657,5.538398489270841,0.37052794559374186
1463,-2334,2000,59.55928379170672,4.2240208295913275,0.048620522967414766
1462,-1556,2000,89.77810413705862,3.9263110936675476,1.0083391914582638
1490,10,2800,133.50212613356834,4.864395803809984,0.13530269501405878
1491,1089,2800,108.22375511305026,4.548832863068366,0.4183449319436815
1492,2178,2800,72.98773555012505,4.01858158190848,0.6383323458795429
1493,3267,2800,42.95306296861221,3.5270022139459853,0.618362873465873
1494,4356,2800,30.311235326011705,3.333055625240141,0.7089202872417805
1495,5445,2800,18.302045740521624,3.3438183684264104,2.3446249446519194
1496,6534,2800,12.639823031701106,2.8993833975108894,0.6372488590359855
1497,7623,2800,7.08639350851523,2.926545751984284,0.7618054877975384
1499,9801,2800,6.0356306015728505,4.500841631453385,0.053440065065502515
1418,2488,800,11.915281378971892,2.8645939262774025,0.05479988568007621
1419,2799,800,10.53025334851543,2.872908860726487,0.08249506781859017
1410,10,800,172.59018069826158,6.308681146004971,1.8431138583180064
1411,311,800,145.70658615258964,6.395214822392601,0.1448003396391426
1412,622,800,100.21782748355606,4.137211128720786,0.3911892717302937
1413,933,800,65.55618642022766,4.037271034309677,0.5795732955539918
1414,1244,800,45.86939343651953,3.6426225229987135,0.29135278435503614
1415,1555,800,31.654332801041928,3.9666396841046896,0.3944500334937437
1416,1866,800,23.66625246741116,3.7080241577987847,1.9635392555480753
1417,2177,800,19.686485102538544,3.219681656845035,0.024675706680537552
1483,-3267,2800,50.47152169889303,3.67151586357502,1.024215093172172
1482,-2178,2800,79.07524476293146,4.29050389254535,0.38737373884874804
1481,-1089,2800,116.08276303472506,5.1386274503701515,0.31282614921551694
1480,-10,2800,132.9989374636373,4.984516475064292,1.0426380422768002
1487,-7623,2800,11.948554462369195,3.8564292883475355,0.4810304916469286
1486,-6534,2800,12.50885128939725,3.0546792040026003,0.386022791575786
1485,-5445,2800,21.032104116963236,2.9102139642014118,0.8425343252322531
1484,-4356,2800,32.8698525904262,3.6162465801108286,1.894004272961262
1489,-9801,2800,7.399556084934567,3.109800843016827,0.8016315307144355
1409,-2799,800,14.339484509700307,3.700701257310255,0.70765390410283
1408,-2488,800,14.388767351095087,2.8192606869804506,0.9128092586771769
1403,-933,800,76.37888263399674,4.326836946151465,0.07907734594449622
1402,-622,800,106.90616655444424,4.304473141089546,0.907855838421786
1401,-311,800,150.72993879756322,5.3565212557003905,0.4793553378903992
1400,-10,800,168.77505288034445,0.5934825825871676,114.83697176656798
1407,-2177,800,18.89706288520137,3.1983188207706865,0.33440739636484973
1406,-1866,800,27.908212667621243,3.3315838777684434,0.38258572654234313
1405,-1555,800,36.03325393746018,3.1997448003127045,0.8928057114651122
1404,-1244,800,51.42449072708655,4.018685509013505,0.6574354852482368
1437,9800,3600,8.434762487941645,2.6660961837240973,0.7720958543021397
1434,5600,3600,24.420708174759433,3.196505459961642,1.5917008214545925
1435,7000,3600,15.163966174970806,2.9636706900381466,0.18158117215915975
1432,2800,3600,60.801010442517274,3.806458328345633,0.1945191804204296
1433,4200,3600,35.450529165444024,3.2629457591456177,1.047888134700136
1430,10,3600,119.67777148429374,5.405380151572218,0.4595808361188968
1431,1400,3600,94.01129195923266,4.691598671242826,0.14999313485530724
1438,11200,3600,6.019098267598347,2.751811485016296,1.1698849367603767
1439,12600,3600,8.655163132354472,3.2986810408197296,0.9997814049959922
1421,-1400,3600,102.79232033677272,3.9154099985767283,0.4084391284218654
1420,-10,3600,117.72638550851332,4.503146369839982,0.10387772183618493
1423,-4200,3600,43.61085112696521,3.2094292473652146,0.5030956944978942
1422,-2800,3600,66.85696651656589,4.163456104232771,0.4164826264457966
1425,-7000,3600,17.502230799221532,3.1997516036001157,0.4207537650498202
1424,-5600,3600,23.897664023557198,3.101035519570758,1.0949433388963579
1427,-9800,3600,7.412244710738918,3.0290259759927487,0.20925388912701165
1429,-12600,3600,4.473380017414274,3.1723260096856163,0.07556236623179716
1428,-11200,3600,8.641969814777996,2.65946806382516,1.3831918579007616
1454,1868,1200,42.20760292917145,3.4507756800506253,0.4914121170392852
1455,2335,1200,30.528724881654238,3.5298677624751558,0.10536135471995511
1456,2802,1200,20.50160700617435,2.9646086554453044,0.5689058843296815
1457,3269,1200,15.687054023023716,2.956459695165783,0.1073354666291814
1450,10,1200,162.04018818236352,5.926755658367327,0.9894715900716158
1451,467,1200,135.01491959098007,4.997196129917804,0.08453608163759331
1452,934,1200,98.22127991941704,4.314095126775518,1.6179972785214947
1453,1401,1200,62.03529463818766,3.9868532696573946,0.20786540395969183
1458,3736,1200,11.07877910492347,3.1191075300075237,0.25036982250873485
1459,4203,1200,10.50157163593404,3.0829290837535996,0.8309617213485346
1447,-3269,1200,15.727935138597333,4.076832054211269,0.8273436761835598
