Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1526,4900,2800,20.81114286565572,2.981101325102393,1.1390034600596075
1527,5880,2800,12.386129694691288,3.136146321932093,0.7602435031688065
1469,-1050,1000,99.23059461237591,4.122746420799392,1.193375771023813
1468,-700,1000,138.63032264166952,5.460024258168578,1.7847061295556603
1465,1750,500,13.141444827460274,2.9537875863987426,0.9233653527300348
1464,1575,500,19.825275118633137,3.037860413517996,1.0303065582015112
1467,-350,1000,178.96848183212208,6.579206225350095,5.546993410993295
1466,-10,1000,197.77555306787517,7.898615249849335,0.04286430922748609
1461,1050,500,36.11231496109691,3.4646797705823604,0.030968280797602735
1460,875,500,48.57462112633003,3.327841734166662,0.666861822226609
1463,1400,500,24.205731216185395,3.0371604069327014,2.657714162542816
1462,1225,500,27.06387506972857,3.167472210390134,0.7137117992804117
1490,-1400,2000,115.96517242455128,4.827953748493972,0.28814049751090276
1491,-2100,2000,76.56824675205033,4.060098974088149,0.3651399615327199
1492,-2800,2000,48.53445558807957,3.709418822578348,2.987965363221716
1493,-3500,2000,33.50382114435696,3.5586009085786054,0.09137150109063316
1494,-4200,2000,24.405763919825947,3.0801212132156714,1.167056719961476
1495,-4900,2000,14.242121143616322,2.9510283467460248,1.9430426424910694
1496,-5600,2000,10.752831712145541,3.117335450233719,0.1089128187570022
1497,-6300,2000,8.996656536287384,3.050605084911658,2.746448309036744
1498,-7000,2000,6.437498193519074,2.6477783988094807,0.022821208509026296
1499,10,2000,163.3849731815189,5.9342884881923785,2.1766033024980644
1528,6860,2800,12.342461661785142,3.0262284110784377,4.468690155876193
1529,7840,2800,7.3890271919942725,3.2548707028138515,1.9658494472285566
1418,371,150,29.984530078142495,2.8554024798348427,1.8495023063933218
1419,424,150,23.0202560048932,3.2408897393891714,1.1887916488971275
1410,-530,150,20.030888030086967,3.044594430134825,2.094757690680183
1411,10,150,208.0301949691561,7.298102279122035,5.282595076954522
1412,53,150,175.31133345147848,6.130098652111961,9.32739835344617
1413,106,150,130.61129000593635,4.307124113327168,2.2166642192025163
1414,159,150,85.97381857616882,4.082873178907978,0.12956487634468017
1415,212,150,63.14059629136129,3.926772635703023,0.19443945927493256
1416,265,150,46.67903010531079,3.60450423932734,2.473345267318083
1417,318,150,35.6504159162413,3.2047557411930208,1.146042970081743
1510,-10,2800,138.07770946261354,5.96289715994226,0.6982977407767513
1483,2100,1000,28.884094599245955,2.9643254636067873,1.6289462444482905
1482,1750,1000,37.073623286862556,3.572824704975497,0.1377218382915386
1481,1400,1000,56.62532516417294,3.703914126400566,0.8309327246073007
1480,1050,1000,86.72984915195613,3.678997718004537,2.8999294379660134
1487,3500,1000,5.4068558285860675,2.6032526068404156,1.2839608608008808
1486,3150,1000,11.589547789584213,3.150114316287776,0.30554966457124444
1485,2800,1000,17.109933301074815,2.8173556439740084,1.2059377522500376
1484,2450,1000,20.389927219410882,3.195405069135298,0.8910531979613951
1489,-700,2000,151.66259134341607,6.018535366303202,0.23197804150094223
1488,-10,2000,166.23997368020295,5.8593697417807284,3.282324888112397
1524,2940,2800,49.488605388945025,3.6210829097664394,0.949053565395358
1525,3920,2800,32.08367766811219,3.541741503346699,1.0406478288488055
1409,-477,150,25.047089498790097,3.022775663268872,3.0501374555894603
1408,-424,150,29.37560849631004,3.033873711244745,0.27548196872443087
1520,-9800,2800,9.761223907402972,2.8078296357616748,1.9073665915315918
1521,10,2800,139.31310740579903,5.502475548278967,1.9629413378072167
1522,980,2800,115.85184008201368,4.869006186085873,0.983509078980908
1523,1960,2800,77.1576926841664,4.011421339109442,0.7944871987648784
1403,-159,150,112.3771584808041,4.9647421280784565,0.03177403108468067
1402,-106,150,156.2186430761964,6.02615532133925,1.068018518251617
1401,-53,150,201.8447402508299,6.913508993572361,1.023576738692641
1400,-10,150,214.55166679793612,7.789646881911755,4.863891072608452
1407,-371,150,35.57933279120903,3.0903474624063434,0.13396199292152589
1406,-318,150,45.50396444738534,3.1729056277378036,1.0267210932326616
1405,-265,150,60.5953311132128,3.54404199509859,0.3689269437126907
1404,-212,150,85.43762743644814,3.9372250021540887,0.8856913063609141
1436,3780,3600,43.815249388454355,3.1259155879743035,1.3719898919944218
1437,5040,3600,29.776011685553634,2.9308224835710597,1.122141334048122
1434,1260,3600,97.12359354441044,4.3781505318508005,0.1467625627961513
1435,2520,3600,66.03211461288157,3.39827826528049,1.027271266620169
1432,-12600,3600,4.8571740901927685,2.9094463250104234,0.5038534726597635
1433,10,3600,119.40036440954647,4.861557641585312,1.8267315414303533
1430,-10080,3600,8.72327539133198,2.8894437221264875,0.37370599747973815
1431,-11340,3600,4.637261134951101,3.1432047081230787,0.4283178245723789
1511,-980,2800,126.30064803613672,5.291517275651156,0.0078536002931522
1438,6300,3600,16.708564938755213,3.1596724875079483,0.06063398696874769
1439,7560,3600,14.087597412663236,2.9498922645512127,1.4679922821666898
1531,9800,2800,6.157415234880064,2.86592708301065,0.2716499303056067
1421,530,150,17.493571892544132,2.8172805444421662,1.5269707399275594
1420,477,150,20.19577253912186,2.9517789865246105,0.27193569029672565
1423,-1260,3600,107.36996234659375,4.429699748145613,0.41149511275224393
1422,-10,3600,116.57114404028088,4.9727640558022275,1.2698904408890217
1425,-3780,3600,44.979833418914986,3.304335767488591,2.2644773758296797
1424,-2520,3600,76.63400694310654,3.572609023737907,0.10436921508636339
1427,-6300,3600,20.640261385046443,2.7722775721328774,0.5705540579607977
1426,-5040,3600,30.47828959927109,3.231352459815717,2.506419806837076
